2013-06-02 01:50:29 status unpacked dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 status unpacked dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 configure dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-02 01:50:29 status unpacked dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 status unpacked dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 status unpacked dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 status unpacked dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 status unpacked dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 status half-configured dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 status installed dpkg 1.16.10ubuntu1
2013-06-02 01:50:29 startup archives install
2013-06-02 01:50:29 install libc6:armhf <none> 2.17-0ubuntu5
2013-06-02 01:50:29 status half-installed libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:30 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:30 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:30 configure libc6:armhf 2.17-0ubuntu5 2.17-0ubuntu5
2013-06-02 01:50:30 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:30 status unpacked libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:30 status half-configured libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:31 status installed libc6:armhf 2.17-0ubuntu5
2013-06-02 01:50:31 startup archives install
2013-06-02 01:50:31 install perl-base:armhf <none> 5.14.2-21
2013-06-02 01:50:31 status half-installed perl-base:armhf 5.14.2-21
2013-06-02 01:50:32 status unpacked perl-base:armhf 5.14.2-21
2013-06-02 01:50:32 status unpacked perl-base:armhf 5.14.2-21
2013-06-02 01:50:32 configure perl-base:armhf 5.14.2-21 5.14.2-21
2013-06-02 01:50:32 status unpacked perl-base:armhf 5.14.2-21
2013-06-02 01:50:32 status half-configured perl-base:armhf 5.14.2-21
2013-06-02 01:50:32 status installed perl-base:armhf 5.14.2-21
2013-06-02 01:50:32 startup archives install
2013-06-02 01:50:32 install mawk:armhf <none> 1.3.3-17ubuntu1
2013-06-02 01:50:32 status half-installed mawk:armhf 1.3.3-17ubuntu1
2013-06-02 01:50:32 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-02 01:50:32 status unpacked mawk:armhf 1.3.3-17ubuntu1
